course_id,course_name,description,start_date,duration,price,capacity,delivery_format
1,NLP & Large Language Models,A hands-on nlp & large language models program for working professionals.,2026-08-31,10 weeks,2801.27,32,Hybrid
2,AI Product Management,A hands-on ai product management program for working professionals.,2026-10-28,8 weeks,1496.22,52,Online
3,AI for Healthcare,A hands-on ai for healthcare program for working professionals.,2026-06-25,4 weeks,471.31,40,Hybrid
4,Applied Data Science,A hands-on applied data science program for working professionals.,2026-12-22,6 weeks,2345.84,44,Hybrid
5,AI Foundations,A hands-on ai foundations program for working professionals.,2026-08-02,4 weeks,2710.43,59,Hybrid
6,Prompt Engineering Masterclass,A hands-on prompt engineering masterclass program for working professionals.,2026-12-07,3 months,1559.15,23,Online
7,Robotics & AI,A hands-on robotics & ai program for working professionals.,2026-05-01,10 weeks,2143.23,22,Hybrid
8,AI for Finance,A hands-on ai for finance program for working professionals.,2026-11-27,8 weeks,1178.73,59,Hybrid
9,Computer Vision Fundamentals,A hands-on computer vision fundamentals program for working professionals.,2026-08-07,4 weeks,810.57,36,Online
10,Deep Learning Intensive,A hands-on deep learning intensive program for working professionals.,2026-05-26,12 weeks,911.66,36,Online
11,Generative AI for Business,A hands-on generative ai for business program for working professionals.,2026-11-04,6 months,2547.23,35,Online
12,Reinforcement Learning Essentials,A hands-on reinforcement learning essentials program for working professionals.,2026-11-14,4 weeks,2546.1,29,Online
